"Gênero","Horas de trabalho reprodutivo","Ansiedade-traço","Ansiedade-estado","NASA-TLX","Demanda mental","Demanda física","Demanda temporal","Demanda de desempenho","Esforço","Frustração"
"Mulher","Entre 2 e 4 horas",67.0,76.0,3.2,20.0,16.0,0.0,0.0,0.0,12.0
"Mulher","Abaixo de 2 horas",72.0,58.0,3.26666666666667,4.0,3.0,9.0,6.0,12.0,15.0
"Mulher","Abaixo de 2 horas",68.0,56.0,3.6,8.0,0.0,8.0,6.0,12.0,20.0
"Mulher","Abaixo de 2 horas",65.0,47.0,3.33333333333333,8.0,0.0,6.0,4.0,20.0,12.0
"Homem","Abaixo de 2 horas",43.0,32.0,3.8,8.0,3.0,16.0,20.0,8.0,2.0
"Mulher","Abaixo de 2 horas",66.0,62.0,8.66666666666667,30.0,0.0,0.0,24.0,36.0,40.0
"Mulher","Entre 2 e 4 horas",65.0,71.0,9.06666666666667,20.0,36.0,20.0,9.0,30.0,21.0
"Mulher","Abaixo de 2 horas",57.0,49.0,7.66666666666667,14.0,0.0,14.0,14.0,28.0,45.0
"Mulher","Entre 2 e 4 horas",79.0,81.0,9.2,30.0,0.0,40.0,16.0,7.0,45.0
"Homem","Abaixo de 2 horas",48.0,54.0,3.8,12.0,8.0,20.0,9.0,8.0,0.0
"Mulher","Entre 2 e 4 horas",71.0,66.0,3.73333333333333,12.0,3.0,20.0,9.0,12.0,0.0
"Homem","Abaixo de 2 horas",45.0,46.0,7.46666666666667,27.0,14.0,16.0,32.0,18.0,5.0
"Mulher","Abaixo de 2 horas",48.0,33.0,8.8,40.0,0.0,12.0,14.0,50.0,16.0
"Mulher","Acima de 4 horas",60.0,72.0,3.66666666666667,40.0,0.0,16.0,6.0,4.0,9.0
"Homem","Entre 2 e 4 horas",78.0,77.0,3.8,16.0,9.0,20.0,3.0,9.0,0.0
"Mulher","Abaixo de 2 horas",38.0,30.0,1.73333333333333,6.0,0.0,0.0,3.0,5.0,12.0
"Mulher","Abaixo de 2 horas",69.0,70.0,8.86666666666667,16.0,0.0,0.0,36.0,45.0,36.0
"Mulher","Entre 2 e 4 horas",65.0,67.0,2.66666666666667,9.0,0.0,0.0,9.0,12.0,10.0
"Mulher","Abaixo de 2 horas",81.0,81.0,8.93333333333333,50.0,0.0,0.0,18.0,30.0,36.0
"Homem","Entre 2 e 4 horas",40.0,38.0,3.66666666666667,6.0,8.0,1.0,20.0,20.0,0.0
"Homem","Abaixo de 2 horas",69.0,68.0,7.73333333333333,8.0,10.0,6.0,14.0,50.0,28.0
"Homem","Entre 2 e 4 horas",64.0,63.0,4.0,12.0,0.0,4.0,16.0,12.0,16.0
"Mulher","Acima de 4 horas",60.0,71.0,6.66666666666667,32.0,0.0,14.0,28.0,6.0,20.0
"Mulher","Entre 2 e 4 horas",69.0,66.0,8.06666666666667,18.0,0.0,36.0,35.0,24.0,8.0
"Homem","Entre 2 e 4 horas",67.0,70.0,3.86666666666667,20.0,6.0,4.0,8.0,16.0,4.0
